,job_title,company,job_search,location,date_range,link
31,Coder I,Community Foundation of Northwest Indiana,Data ScientistData Engineer,"Hammond, INHammond, IN",todaytoday,//www.monster.com/job-openings/coder-i-hammond-in--d8742eb8-bac5-4a8f-b5d3-e76e48c509ee?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.go.s-svr.75&so=m.h.s&hidesmr=1//www.monster.com/job-openings/coder-i-hammond-in--d8742eb8-bac5-4a8f-b5d3-e76e48c509ee?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.go.s-svr.72&so=m.h.s&hidesmr=1
32,Data Analyst -ERP Conversion,Vaco Technology,Data Analyst,"Brentwood, TN",today,//www.monster.com/job-openings/data-analyst-erp-conversion-brentwood-tn--94639e47-6ebc-47c3-be22-ca1c2278bc43?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.undefined.s-svr.40&so=m.h.s&hidesmr=1&promoted=KEVEL
33,Data Engineer,The Judge Group,Data AnalystData ScientistData Engineer,"Atlanta, GAAtlanta, GAAtlanta, GA",todaytodaytoday,//www.monster.com/job-openings/data-engineer-atlanta-ga--73f5266c-bec3-4074-8b72-4015129eb6f3?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.undefined.s-svr.25&so=m.h.s&hidesmr=1&promoted=KEVEL//www.monster.com/job-openings/data-engineer-atlanta-ga--73f5266c-bec3-4074-8b72-4015129eb6f3?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.undefined.s-svr.21&so=m.h.s&hidesmr=1&promoted=KEVEL//www.monster.com/job-openings/data-engineer-atlanta-ga--73f5266c-bec3-4074-8b72-4015129eb6f3?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.undefined.s-svr.16&so=m.h.s&hidesmr=1&promoted=KEVEL
34,Data Scientist,Dropbox,Data Scientist,"Remote, CA",today,//www.monster.com/job-openings/data-scientist-san-diego-ca--fa8c6968-a0de-4ed1-abb3-fe99d43bcb6e?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.undefined.s-svr.13&so=m.h.s&hidesmr=1&promoted=KEVEL
35,Data and Business Analyst,TekSynap,Data Analyst,"Rockville, MD",today,//www.monster.com/job-openings/data-and-business-analyst-rockville-md--d4e93286-9e20-4478-ad37-6e4a22cda2fc?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.undefined.s-svr.12&so=m.h.s&hidesmr=1&promoted=KEVEL
36,Database Administrator,"Ingenious Med, Inc.",SQL AnalystData Analyst,"Atlanta, GAAtlanta, GA",todaytoday,//www.monster.com/job-openings/database-administrator-atlanta-ga--90893cca-eef2-42e6-867d-ea122ab71d20?sid=9b5e078f-b59b-47b4-ba6c-c283ad5cbcdf&jvo=m.go.s-svr.3&so=m.h.s&hidesmr=1//www.monster.com/job-openings/database-administrator-atlanta-ga--90893cca-eef2-42e6-867d-ea122ab71d20?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.go.s-svr.69&so=m.h.s&hidesmr=1
37,DevOps Engineer,Jobot,Data ScientistData ScientistData EngineerData Engineer,"Houston, TXJacksonville, FLHouston, TXJacksonville, FL",todaytodaytodaytoday,//www.monster.com/job-openings/devops-engineer-houston-tx--a1cc1585-bd69-46c7-b9e4-f1e2a9b9cf9f?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.go.s-svr.90&so=m.h.s&hidesmr=1//www.monster.com/job-openings/devops-engineer-jacksonville-fl--5bd58e28-e3af-4f06-9617-cb06419395be?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.go.s-svr.92&so=m.h.s&hidesmr=1//www.monster.com/job-openings/devops-engineer-houston-tx--a1cc1585-bd69-46c7-b9e4-f1e2a9b9cf9f?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.go.s-svr.87&so=m.h.s&hidesmr=1//www.monster.com/job-openings/devops-engineer-jacksonville-fl--5bd58e28-e3af-4f06-9617-cb06419395be?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.go.s-svr.88&so=m.h.s&hidesmr=1
38,Embedded C Engineer - Casino Gaming,Motion Recruitment,Data ScientistData Engineer,"Duluth, GADuluth, GA",todaytoday,//www.monster.com/job-openings/embedded-c-engineer-casino-gaming-duluth-ga--1062af0c-e290-4969-9372-81705215728e?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.go.s-svr.93&so=m.h.s&hidesmr=1//www.monster.com/job-openings/embedded-c-engineer-casino-gaming-duluth-ga--1062af0c-e290-4969-9372-81705215728e?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.go.s-svr.86&so=m.h.s&hidesmr=1
39,End User Computer Support Technician,System One,Data Analyst,"Huntsville, AL",today,//www.monster.com/job-openings/end-user-computer-support-technician-huntsville-al--45f76af1-b065-4a73-a0c6-8cdd2541ba70?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.undefined.s-svr.46&so=m.h.s&hidesmr=1&promoted=KEVEL
40,Enterprise Resource Planning Analyst III,Solugenix Corp,Data Analyst,"Los Angeles, CA",today,//www.monster.com/job-openings/enterprise-resource-planning-analyst-iii-los-angeles-ca--100ec425-35fb-406e-be2a-999213831174?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.go.s-svr.62&so=m.h.s&hidesmr=1
